 Company  Names!!,Car_Name @,Tipo de motor  ,CC / Batt.Capacidad , Horse Power(HP)! ,velocidad max kmh ,0_100 km/h  (seg) ,Precio $$ coche,TipoCombustible  ,  Num Asientos ,Par motor (Nm)??
Ferrari,296 GTB,3.0L V6 Plug-In Hybrid,2992cc+Battery,819 hp,330km/h,2.9 sec,$330000,Hybrid,2,740 Nm
Ferrari,296 GTS,3.0L V6 Plug-In Hybrid,2992cc+Battery,819hp,330km/h,2.9 sec,$380000,Hybrid,2,740
Ferrari,Purosangue,6.5L V12,6496cc,715hp,310km/h,3.3 sec,$400000,Petrol,4,716 Nm
Ford,Bronco Raptor,3.0L Twin-Turbo V6,2956cc,N/A,180km/h,5.6 sec,$70000,Petrol,5,596 Nm
Ford,Mustang Mach-E GT,Dual Electric Motors,91kWh,480hp,200km/h,3.8 sec,,Electric,5,860 Nm
Ford,F-150 Lightning Platinum,Dual Electric Motors,131 cc,580hp,,4.3 sec,$92000,Electric,5,1050 Nm
Genesis,G70 Shooting Brake,2.0L Turbo I4,1998cc,245hp,235km/h,6.4 sec,$45000,Petrol,cinco,353 Nm
Genesis,GV60 Performance,Dual Electric Motors,77.4kWh,N/A,235km/h,4.0 sec,$70000,Electric,5,700 Nm
Genesis,G90 E-Supercharger,3.5L Twin-Turbo V6 Hybrid,3470cc+Battery,409hp,250km/h,5.8 sec,$95000,Hybrid,5,549
Honda,ZR-V,2.0L Hybrid I4,1993cc+Battery,184hp,177 KMH,7.9 sec,$37000,Hybrid,5,315 Nm
Honda,CR-V e:HEV,2.0L Hybrid I4,1993cc+Battery,204hp,185km/h,8.5 sec,$40000,Hybrid,5,335 Nm
Honda,e:Ny1,Single Electric Motor,68.8kWh,204hp,160km/h,7.6 sec,$39000,Electric,5,
Hyundai,Kona N Line,1.6L Turbo I4,1598cc,198hp,210km/h,7.8 sec,$32000,Petrol,5,265 Nm
Hyundai,Santa Fe 2024 Hybrid,1.6L Turbo Hybrid,1598cc+Battery,230hp,190km/h,8.4 sec,$43000,Hybrid,7,350 Nm
Jaguar,F-Type 75,5.0L Supercharged V8,5000cc,444hp,285km/h,4.6 sec,$80000,Petrol,dos,580 N·m
Jaguar,I-PACE EV400,Dual Electric Motors,,394hp,200km/h,4.8 sec,$72000,Electric,5,696 Nm
Jeep,Grand Cherokee 4xe,2.0L Turbo PHEV,1995cc+Battery,375hp,210km/h,6.0 sec,$61000,Plug-In Hybrid,,637 Nm
Jeep,Avenger Electric,Single Electric Motor,"5,4 cc",156 hp,150km/h,9.0 sec,$31000,Electric,5,260 Nm
Kia,EV5,Single Electric Motor,82kWh,308hp,190km/h,6.2 sec,$48000,Electric,5,475 Nm
